frame,landmark_id,x_3d,y_3d,z_3d
76,0,-0.10246500000000001,0.195615,5.589
76,1,-0.07389333333333332,0.17549666666666666,5.542
76,2,-0.06465666666666667,0.17549666666666666,5.542
76,3,-0.04618333333333333,0.17549666666666666,5.542
76,4,-0.1121,0.16815000000000002,5.605
76,5,-0.13304666666666667,0.17106,5.702
76,6,-0.143375,0.17205,5.735
76,7,-0.028025,0.18683333333333335,5.605
76,8,-0.16586333333333333,0.18537666666666666,5.854
76,9,-0.07537333333333333,0.23554166666666665,5.653
76,10,-0.123175,0.2274,5.685
76,11,0.047516666666666665,0.37062999999999996,5.702
76,12,-0.23091666666666663,0.3787033333333333,5.542
76,13,0.08313,0.5449633333333334,5.542
76,14,-0.27076,0.6092099999999999,5.802
76,15,0.05466,0.68325,5.466
76,16,-0.2600733333333334,0.752355,5.573
76,17,0.05466,0.7288,5.466
76,18,-0.27637,0.82911,5.718
76,19,0.036539999999999996,0.7216649999999999,5.481
76,20,-0.26231333333333334,0.815045,5.621
76,21,0.036539999999999996,0.703395,5.481
76,22,-0.250785,0.7895083333333334,5.573
76,23,0.0,0.7503299999999999,5.558
76,24,-0.15702333333333332,0.7574066666666666,5.542
76,25,0.028104999999999998,1.0586216666666666,5.621
76,26,-0.15074666666666667,1.0458049999999999,5.653
76,27,0.04644166666666667,1.2817900000000002,5.573
76,28,-0.14505,1.30545,5.802
76,29,0.01873666666666667,1.3303033333333334,5.621
76,30,-0.11504,1.3325466666666668,5.752
76,31,0.08244000000000001,1.35568,5.496
76,32,-0.16062166666666666,1.3700083333333333,5.669
76,0,-0.10246500000000001,0.195615,5.589
76,1,-0.07389333333333332,0.17549666666666666,5.542
76,2,-0.06465666666666667,0.17549666666666666,5.542
76,3,-0.04618333333333333,0.17549666666666666,5.542
76,4,-0.1121,0.16815000000000002,5.605
76,5,-0.12282833333333332,0.17006999999999997,5.669
76,6,-0.143375,0.17205,5.735
76,7,-0.028184999999999995,0.197295,5.637
76,8,-0.15381333333333333,0.18265333333333333,5.768
76,9,-0.07537333333333333,0.23554166666666665,5.653
76,10,-0.123175,0.2274,5.685
76,11,0.047516666666666665,0.37062999999999996,5.702
76,12,-0.23220833333333335,0.39011000000000007,5.573
76,13,0.08313,0.5449633333333334,5.542
76,14,-0.27076,0.6092099999999999,5.802
76,15,0.05466,0.68325,5.466
76,16,-0.2600733333333334,0.752355,5.573
76,17,0.05466,0.7288,5.466
76,18,-0.27637,0.82911,5.718
76,19,0.036539999999999996,0.7216649999999999,5.481
76,20,-0.26231333333333334,0.815045,5.621
76,21,0.036539999999999996,0.703395,5.481
76,22,-0.250785,0.7895083333333334,5.573
76,23,0.009236666666666666,0.74817,5.542
76,24,-0.14821333333333334,0.7595933333333332,5.558
76,25,0.028104999999999998,1.0492533333333334,5.621
76,26,-0.15074666666666667,1.0458049999999999,5.653
76,27,0.046575,1.2761550000000002,5.589
76,28,-0.14505,1.30545,5.802
76,29,0.01873666666666667,1.320935,5.621
76,30,-0.11504,1.3325466666666668,5.752
76,31,0.08244000000000001,1.35568,5.496
76,32,-0.16062166666666666,1.3700083333333333,5.669
77,0,-0.06539166666666667,0.19617500000000002,5.605
77,1,-0.05558,0.17600333333333334,5.558
77,2,-0.037053333333333334,0.17600333333333334,5.558
77,3,-0.02779,0.17600333333333334,5.558
77,4,-0.0953,0.17154,5.718
77,5,-0.10732333333333334,0.17562,5.854
77,6,-0.11742,0.17613,5.871
77,7,-0.009341666666666667,0.19617500000000002,5.605
77,8,-0.15954999999999997,0.20209666666666665,6.382
77,9,-0.05685,0.236875,5.685
77,10,-0.09586666666666666,0.23966666666666664,5.752
77,11,0.05541999999999999,0.36023,5.542
77,12,-0.21608499999999997,0.385195,5.637
